doyle,0,0,0,1 
dozen,0,10,0,0 
dozes,1,0,0,0 
drain,1,0,0,1 
drama,0,0,0,17 
drank,1,0,0,2 
drawn,4,4,0,4 
dread,0,1,0,1 
dream,5,1,0,2 
drear,2,0,0,0 
dress,0,0,0,6 
dried,0,2,0,1 
drift,1,0,0,1 
drink,0,1,0,1 
drive,1,9,0,2 
drone,1,0,0,0 
droop,1,0,0,0 
drops,2,0,0,0 
drove,1,6,1,5 
drury,0,0,0,4 
duets,0,0,0,1 
dusky,1,0,0,0 
dusty,1,1,0,0 
dwell,0,0,0,2 
dwelt,1,0,0,1 
dying,4,1,0,1 
dædal,3,0,0,0 
eager,1,2,0,17 
early,4,3,0,29 
earth,13,6,1,0 
eaten,0,3,0,0 
ebbed,1,0,0,0 
ebook,8,8,8,8 
edgar,0,0,0,3 
edwin,0,0,0,4 
eerie,0,0,0,1 
eight,0,1,0,2 
elbow,0,2,0,1 
elder,0,0,0,10 
elect,1,1,1,1 
elfin,16,0,0,0 
elgin,0,0,0,2 
elihu,0,3,0,0 
eliot,0,0,0,1 
ellen,0,0,0,3 
email,2,2,2,2 
emery,0,0,0,4 
empty,1,2,1,5 
ended,0,2,0,9 
enemy,0,1,0,1 
enjoy,1,3,0,2 
enter,3,1,1,3 
entry,0,1,0,4 
epoch,0,0,0,1 
equal,1,2,0,20 
erect,0,0,0,1 
error,1,0,0,1 
essay,0,0,0,7 
etext,0,0,1,0 
ether,3,0,0,0 
event,0,0,0,4 
every,8,36,3,59 
exact,0,0,0,3 
exalt,0,0,0,1 
excel,0,0,0,1 
exert,1,0,0,0 
exile,1,0,0,0 
expel,1,0,0,0 
extra,0,1,0,0 
exult,1,0,0,0 
eyrie,2,0,0,0 
faced,0,3,0,0 
faces,2,2,0,1 
facts,0,0,0,9 
faded,4,0,0,0 
fades,1,0,0,0 
faint,0,2,0,1 
fairy,2,1,0,2 
faith,1,1,0,16 
falls,1,0,0,1 
false,0,1,1,0 
famed,2,0,0,0 
fancy,4,2,0,8 
fanes,1,0,0,0 
farms,0,1,0,2 
fatal,2,0,0,0 
fault,0,1,0,4 
faust,1,0,0,2 
favor,0,2,0,0 
fears,0,0,0,2 
feast,1,0,0,2 
feats,0,0,0,1 
fence,0,1,0,0 
fetch,0,1,0,0 
fever,0,1,0,1 
fewer,0,0,0,1 
field,2,3,0,5 
fiend,2,0,0,0 
fiery,12,0,0,0 
fifth,0,0,0,2 
fifty,0,2,0,6 
fight,0,5,0,3 
files,1,1,1,1 
fills,2,0,0,0 
filmy,1,0,0,0 
final,1,1,0,22 
finds,0,0,0,2 
finer,0,0,0,6 
